"1","1","1","بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ","اللہ کے نام سے جو رحمان و رحیم ہے","In the name of Allah, the Merciful, the Compassionate"
"48","2","41","وَآمِنُوا بِمَا أَنزَلْتُ مُصَدِّقًا لِّمَا مَعَكُمْ وَلَا تَكُونُوا أَوَّلَ كَافِرٍ بِهِ ۖ وَلَا تَشْتَرُوا بِآيَاتِي ثَمَنًا قَلِيلًا وَإِيَّايَ فَاتَّقُونِ","اور میں نے جو کتاب بھیجی ہے اس پر ایمان لاؤ یہ اُس کتاب کی تائید میں ہے جو تمہارے پاس پہلے سے موجود تھی، لہٰذا سب سے پہلے تم ہی اس کے منکر نہ بن جاؤ تھوڑی قیمت پر میری آیات کو نہ بیچ ڈالو او ر میرے غضب سے بچو","And believe in the Book I have now sent down; as it confirms the Scriptures you already possess, be not the first to reject it; barter not away My Revelations for paltry worldly gain, and guard yourselves against My wrath"
"49","2","42","وَلَا تَلْبِسُوا الْحَقَّ بِالْبَاطِلِ وَتَكْتُمُوا الْحَقَّ وَأَنتُمْ تَعْلَمُونَ","باطل کا رنگ چڑھا کر حق کو مشتبہ نہ بناؤ اور نہ جانتے بوجھتے حق کو چھپانے کی کوشش کرو","Confound not the Truth with falsehood nor conceal it knowingly."
"50","2","43","وَأَقِيمُوا الصَّلَاةَ وَآتُوا الزَّكَاةَ وَارْكَعُوا مَعَ الرَّاكِعِينَ","نماز قائم کرو، زکوٰۃ دو اور جو لوگ میرے آگے جھک رہے ہیں اُن کے ساتھ تم بھی جھک جاؤ","Establish the Salat, pay the Zakat and bow down before Me along with those who bow down."
"51","2","44","۞ أَتَأْمُرُونَ النَّاسَ بِالْبِرِّ وَتَنسَوْنَ أَنفُسَكُمْ وَأَنتُمْ تَتْلُونَ الْكِتَابَ ۚ أَفَلَا تَعْقِلُونَ","تم دوسروں کو تو نیکی کا راستہ اختیار کرنے کے لیے کہتے ہو، مگر اپنے آپ کو بھول جاتے ہو؟ حالانکہ تم کتاب کی تلاوت کرتے ہو کیا تم عقل سے بالکل ہی کام نہیں لیتے؟","How is it that you enjoin others to follow the Right Way, but forget it yourselves, though you read the Scriptures? Have you no sense at all?"
"52","2","45","وَاسْتَعِينُوا بِالصَّبْرِ وَالصَّلَاةِ ۚ وَإِنَّهَا لَكَبِيرَةٌ إِلَّا عَلَى الْخَاشِعِينَ","صبر اور نماز سے مدد لو، بیشک نماز ایک سخت مشکل کام ہے","Seek help with the Salat and fortitude: no doubt, Salat is a hard task but not for those obedient servants,"
"53","2","46","الَّذِينَ يَظُنُّونَ أَنَّهُم مُّلَاقُو رَبِّهِمْ وَأَنَّهُمْ إِلَيْهِ رَاجِعُونَ","مگر ان فرماں بردار بندوں کے لیے مشکل نہیں ہے جو سمجھتے ہیں کہ آخر کار انہیں اپنے رب سے ملنا اور اسی کی طرف پلٹ کر جانا ہے","who realize that ultimately they shall meet their Lord and shall return to Him."
"54","2","47","يَا بَنِي إِسْرَائِيلَ اذْكُرُوا نِعْمَتِيَ الَّتِي أَنْعَمْتُ عَلَيْكُمْ وَأَنِّي فَضَّلْتُكُمْ عَلَى الْعَالَمِينَ","اے بنی اسرائیل! یاد کرو میری اُس نعمت کو، جس سے میں نے تمہیں نوازا تھا اور اس بات کو کہ میں نے تمہیں دنیا کی ساری قوموں پر فضیلت عطا کی تھی","O Children of Israel! Just recall to mind My favour that bestowed upon you, and remember that I exalted you above all the peoples of the world."
"55","2","48","وَاتَّقُوا يَوْمًا لَّا تَجْزِي نَفْسٌ عَن نَّفْسٍ شَيْئًا وَلَا يُقْبَلُ مِنْهَا شَفَاعَةٌ وَلَا يُؤْخَذُ مِنْهَا عَدْلٌ وَلَا هُمْ يُنصَرُونَ","اور ڈرو اُس دن سے جب کوئی کسی کے ذرا کام نہ آئے گا، نہ کسی کی طرف سے سفارش قبول ہوگی، نہ کسی کو فدیہ لے کر چھوڑا جائے گا، اور نہ مجرموں کو کہیں سے مدد مل سکے گی","And guard yourselves against the Day when no one shall avail anyone anything; nor shall intercession be accepted from anyone; nor shall anyone be acquitted for any (amount of) ransom; nor shall the guilty ones be helped from any quarter."
"56","2","49","وَإِذْ نَجَّيْنَاكُم مِّنْ آلِ فِرْعَوْنَ يَسُومُونَكُمْ سُوءَ الْعَذَابِ يُذَبِّحُونَ أَبْنَاءَكُمْ وَيَسْتَحْيُونَ نِسَاءَكُمْ ۚ وَفِي ذَٰلِكُم بَلَاءٌ مِّن رَّبِّكُمْ عَظِيمٌ","یاد کرو وہ وقت، جب ہم نے تم کو فرعونیوں کی غلامی سے نجات بخشی اُنہوں نے تمہیں سخت عذاب میں مبتلا کر رکھا تھا، تمہارے لڑکوں کو ذبح کرتے تھے اور تمہاری لڑکیوں کو زندہ رہنے دیتے تھے اور اس حالت میں تمہارے رب کی طرف سے تمہاری بڑی آزمائش تھی","Recall the time when We delivered you from the slavery of Pharaoh's people. They had inflicted a dreadful torment on you: they killed your sons and let your daughters live. And in this there was a hard trial for you from your your Lord."
"57","2","50","وَإِذْ فَرَقْنَا بِكُمُ الْبَحْرَ فَأَنجَيْنَاكُمْ وَأَغْرَقْنَا آلَ فِرْعَوْنَ وَأَنتُمْ تَنظُرُونَ","یاد کرو وہ وقت، جب ہم نے سمندر پھاڑ کر تمہارے لیے راستہ بنایا، پھر اس میں سے تمہیں بخیریت گزروا دیا، پھر وہیں تمہاری آنکھوں کے سامنے فرعونوں کو غرقاب کیا","Remember the time when We parted the sea to make way for you and let you pass safely through it and then drowned Pharaoh's people before your very eyes."
"58","2","51","وَإِذْ وَاعَدْنَا مُوسَىٰ أَرْبَعِينَ لَيْلَةً ثُمَّ اتَّخَذْتُمُ الْعِجْلَ مِن بَعْدِهِ وَأَنتُمْ ظَالِمُونَ","یاد کرو، جب ہم نے موسیٰؑ کو چالیس شبانہ روز کی قرارداد پر بلایا، تو اس کے پیچھے تم بچھڑے کو اپنا معبود بنا بیٹھے اُس وقت تم نے بڑی زیادتی کی تھی","Call to mind that when We invited Moses for a fixed term of forty nights and days, you took to calf worship in his absence. Though you had committed a wicked transgression,"
"59","2","52","ثُمَّ عَفَوْنَا عَنكُم مِّن بَعْدِ ذَٰلِكَ لَعَلَّكُمْ تَشْكُرُونَ","مگر اس پر بھی ہم نے تمہیں معاف کر دیا کہ شاید اب تم شکر گزار بنو","yet We pardoned you even after that so that you might become grateful."
"60","2","53","وَإِذْ آتَيْنَا مُوسَى الْكِتَابَ وَالْفُرْقَانَ لَعَلَّكُمْ تَهْتَدُونَ","یاد کرو کہ (ٹھیک اس وقت جب تم یہ ظلم کر رہے تھے) ہم نے موسیٰؑ کو کتاب اور فرقان عطا کی تاکہ تم اس کے ذریعے سے سیدھا راستہ پاسکو","Remember that (at that very time, when you were committing this gross iniquity) We gave Moses the Book and the criterion of right and wrong so that you might be guided aright."
"61","2","54","وَإِذْ قَالَ مُوسَىٰ لِقَوْمِهِ يَا قَوْمِ إِنَّكُمْ ظَلَمْتُمْ أَنفُسَكُم بِاتِّخَاذِكُمُ الْعِجْلَ فَتُوبُوا إِلَىٰ بَارِئِكُمْ فَاقْتُلُوا أَنفُسَكُمْ ذَٰلِكُمْ خَيْرٌ لَّكُمْ عِندَ بَارِئِكُمْ فَتَابَ عَلَيْكُمْ ۚ إِنَّهُ هُوَ التَّوَّابُ الرَّحِيمُ","یاد کرو جب موسیٰؑ (یہ نعمت لیتے ہوئے پلٹا، تو اُس) نے اپنی قوم سے کہا کہ ""لوگو، تم نے بچھڑے کو معبود بنا کر اپنے اوپر سخت ظلم کیا ہے، لہٰذا تم لوگ اپنے خالق کے حضور توبہ کرو اور اپنی جانوں کو ہلاک کرو، اسی میں تمہارے خالق کے نزدیک تمہاری بہتری ہے"" اُس وقت تمہارے خالق نے تمہاری توبہ قبول کر لی کہ وہ بڑا معاف کرنے والا اور رحم فرمانے والا ہے","Remember that when Moses (returned with the Divine Gift, he) said to his people, ""O my people, you have wronged yourselves grievously by taking the calf for worship. Therefore, turn to your Creator. in penitence and slay the guilty ones among you. This is best for you in the sight of your Creator."" At that time your Creator accepted your repentance because He is Relenting 'and Merciful."
"62","2","55","وَإِذْ قُلْتُمْ يَا مُوسَىٰ لَن نُّؤْمِنَ لَكَ حَتَّىٰ نَرَى اللَّهَ جَهْرَةً فَأَخَذَتْكُمُ الصَّاعِقَةُ وَأَنتُمْ تَنظُرُونَ","یاد کرو جب تم نے موسیٰؑ سے کہا تھا کہ ہم تمہارے کہنے کا ہرگز یقین نہ کریں گے، جب تک کہ اپنی آنکھوں سے علانیہ خدا کو (تم سے کلام کرتے) نہ دیکھ لیں اس وقت تمہارے دیکھتے دیکھتے ایک زبردست صاعقے نے تم کو آ لیا","Remember when you said, ""O Moses, we are not going to believe you until we see with our own eyes Allah (talking to you)"". At that very time a thunderbolt struck you while you were looking on and you fell lifeless."
"63","2","56","ثُمَّ بَعَثْنَاكُم مِّن بَعْدِ مَوْتِكُمْ لَعَلَّكُمْ تَشْكُرُونَ","تم بے جان ہو کر گر چکے تھے، مگر پھر ہم نے تم کو جِلا اٹھایا، شاید کہ اس احسان کے بعد تم شکر گزار بن جاؤ","Then We raised you to life so that you might become grateful for this favour."
"64","2","57","وَظَلَّلْنَا عَلَيْكُمُ الْغَمَامَ وَأَنزَلْنَا عَلَيْكُمُ الْمَنَّ وَالسَّلْوَىٰ ۖ كُلُوا مِن طَيِّبَاتِ مَا رَزَقْنَاكُمْ ۖ وَمَا ظَلَمُونَا وَلَـٰكِن كَانُوا أَنفُسَهُمْ يَظْلِمُونَ","ہم نے تم پر ابر کا سایہ کیا، من وسلویٰ کی غذا تمہارے لیے فراہم کی اور تم سے کہا کہ جو پاک چیزیں ہم نے تمہیں بخشی ہیں، اُنہیں کھاؤ، مگر تمہارے اسلاف نے جو کچھ کیا، وہ ہم پر ظلم نہ تھا، بلکہ انہوں نے آپ اپنے ہی اوپر ظلم کیا","(Remember that) We caused the cloud to overshadow you and provided you with manna and salva for your food, saying, ""Eat of the clean and pure things We have bestowed upon you"" (In spite of this, your forefathers violated Our commands:) however, they did not harm Us but harmed only themselves."
"65","2","58","وَإِذْ قُلْنَا ادْخُلُوا هَـٰذِهِ الْقَرْيَةَ فَكُلُوا مِنْهَا حَيْثُ شِئْتُمْ رَغَدًا وَادْخُلُوا الْبَابَ سُجَّدًا وَقُولُوا حِطَّةٌ نَّغْفِرْ لَكُمْ خَطَايَاكُمْ ۚ وَسَنَزِيدُ الْمُحْسِنِينَ","پھر یاد کرو جب ہم نے کہا تھا کہ، ""یہ بستی جو تمہارے سامنے ہے، اس میں داخل ہو جاؤ، اس کی پیداوار جس طرح چاہو، مزے سے کھاؤ، مگر بستی کے دروازے میں سجدہ ریز ہوتے ہو ئے داخل ہونا اور کہتے جانا حطۃ حطۃ، ہم تمہاری خطاؤں سے در گزر کریں گے اور نیکو کاروں کو مزید فضل و کرم سے نوازیں گے""","Then call to mind the time when We said, ""Go into the town' before you and eat to your hearts' content therein, wherefrom you will, but enter the gate bowing down with humility, repeating 'hittatun'; We will forgive your sins and increase the reward of the righteous""."
